[class1\T03.01-addition-within-20.json] 2 need explanations, 72 already done
[class10-biology\T02.01-structure-of-chromosomes-and-dna.json] 2 need explanations, 55 already done
[class10-biology\T03.01-genetics.json] 4 need explanations, 53 already done
[class10-biology\T04.01-human-evolution.json] 1 need explanations, 56 already done
[class10-biology\T05.01-absorption-by-roots.json] 3 need explanations, 54 already done
[class10-biology\T06.01-transpiration.json] 2 need explanations, 55 already done
[class10-biology\T08.01-human-circulatory-system.json] 1 need explanations, 56 already done
[class10-biology\T09.01-human-excretory-system.json] 1 need explanations, 56 already done
[class10-biology\T12.01-reproductive-system.json] 2 need explanations, 55 already done
[class10-biology\T13.01-population-and-environment.json] 2 need explanations, 55 already done
[class10-chemistry\T02.01-chemical-bonding.json] 2 need explanations, 55 already done
[class10-chemistry\T03.01-acids-bases-and-salts.json] 1 need explanations, 56 already done
[class10-chemistry\T04.01-analytical-chemistry.json] 2 need explanations, 55 already done
[class10-chemistry\T05.01-mole-concept-and-stoichiometry.json] 4 need explanations, 53 already done
[class10-chemistry\T07.01-metallurgy.json] 2 need explanations, 55 already done
[class10-chemistry\T08.01-study-of-compounds-ammonia.json] 1 need explanations, 56 already done
[class10-chemistry\T08.02-study-of-compounds-nitric-acid.json] 1 need explanations, 56 already done
[class10-chemistry\T08.03-study-of-compounds-sulphuric-acid.json] 2 need explanations, 55 already done
[class10-chemistry\T09.01-organic-chemistry-introduction.json] 1 need explanations, 56 already done
[class10-chemistry\T09.02-organic-chemistry-hydrocarbons.json] 1 need explanations, 56 already done
[class10-chemistry\T10.01-practical-chemistry-laboratory-techniques.json] 2 need explanations, 55 already done
[class10-physics\T03.01-simple-machines.json] 1 need explanations, 56 already done
[class10-physics\T04.01-light-refraction-at-plane-surfaces.json] 2 need explanations, 55 already done
[class10-physics\T04.02-light-refraction-through-lenses.json] 1 need explanations, 56 already done
[class10-physics\T04.03-defects-of-vision-and-correction.json] 1 need explanations, 56 already done
[class10-physics\T06.01-current-electricity-basic-concepts.json] 1 need explanations, 56 already done
[class10-physics\T06.02-current-electricity-resistance-combinations.json] 1 need explanations, 56 already done
[class10-physics\T07.01-electrical-power-and-energy.json] 4 need explanations, 53 already done
[class10-physics\T08.01-electromagnetism.json] 1 need explanations, 56 already done
[class10-physics\T09.01-calorimetry.json] 6 need explanations, 51 already done
[class2\T01.01-numbers-up-to-200.json] 1 need explanations, 73 already done
[class2\T01.02-numbers-up-to-999.json] 1 need explanations, 72 already done
[class2\T01.03-number-line-and-skip-counting.json] 4 need explanations, 65 already done
[class2\T02.01-addition-up-to-999.json] 5 need explanations, 69 already done
[class2\T02.02-subtraction-up-to-999.json] 2 need explanations, 72 already done
[class2\T02.04-multiplication-introduction.json] 1 need explanations, 70 already done
[class2\T02.05-division-informal-introduction.json] 5 need explanations, 66 already done
[class2\T02.06-money.json] 5 need explanations, 69 already done
[class2\T03.01-basic-geometrical-concepts.json] 1 need explanations, 73 already done
[class2\T03.02-2d-shapes-plane-figures.json] 1 need explanations, 72 already done
[class2\T03.03-3d-shapes-solid-figures.json] 4 need explanations, 69 already done
[class2\T04.01-length-and-distance.json] 1 need explanations, 68 already done
[class2\T04.02-mass-and-weight.json] 5 need explanations, 69 already done
[class2\T04.03-capacity-and-volume.json] 1 need explanations, 73 already done
[class2\T04.04-time.json] 2 need explanations, 66 already done
[class2\T05.01-collection-and-organization-of-data.json] 10 need explanations, 64 already done
[class2\T05.02-representation-of-data.json] 2 need explanations, 72 already done
[class2\T05.03-interpretation-of-data.json] 3 need explanations, 71 already done
[class2\T06.01-number-patterns.json] 4 need explanations, 65 already done
[class2\T06.02-shape-and-color-patterns.json] 1 need explanations, 73 already done
[class2-science\T01.05-food-we-eat.json] 3 need explanations, 54 already done
[class2-science\T01.06-water.json] 3 need explanations, 54 already done
[class2-science\T01.07-air-and-weather.json] 1 need explanations, 56 already done
[class2-science\T01.08-our-earth.json] 1 need explanations, 56 already done
[class2-science\T01.09-safety-rules.json] 9 need explanations, 48 already done
[class3\T01.01-numbers-up-to-9999-four-digit-numbers.json] 1 need explanations, 73 already done
[class3\T01.02-place-value-concepts.json] 4 need explanations, 70 already done
[class3\T01.03-rounding-and-estimation.json] 1 need explanations, 73 already done
[class3\T01.04-number-concepts.json] 1 need explanations, 73 already done
[class3\T01.05-roman-numerals.json] 2 need explanations, 72 already done
[class3\T02.01-addition-up-to-9999.json] 7 need explanations, 67 already done
[class3\T02.02-subtraction-up-to-9999.json] 6 need explanations, 68 already done
    Q: What is the the addition needed to check it of 9543 - 2876 = 6667?...
[class3\T02.04-division.json] 3 need explanations, 71 already done
[class3\T02.05-mixed-operations.json] 2 need explanations, 72 already done
[class3\T03.01-understanding-fractions.json] 1 need explanations, 73 already done
[class3\T03.02-comparing-like-denominator-fractions.json] 4 need explanations, 70 already done
[class3\T03.03-fractions-of-a-collection.json] 2 need explanations, 72 already done
[class3\T04.01-indian-currency.json] 3 need explanations, 71 already done
[class3\T04.02-money-operations.json] 3 need explanations, 71 already done
[class3\T05.01-length-and-distance.json] 2 need explanations, 72 already done
[class3\T05.02-mass-and-weight.json] 6 need explanations, 67 already done
[class3\T05.03-capacity-and-volume.json] 5 need explanations, 69 already done
[class3\T05.04-time.json] 1 need explanations, 73 already done
[class3\T05.05-temperature.json] 3 need explanations, 71 already done
[class3\T06.01-basic-geometrical-concepts.json] 2 need explanations, 72 already done
[class3\T06.02-2d-shapes-polygons.json] 2 need explanations, 72 already done
[class3\T06.03-3d-shapes-solid-geometry.json] 1 need explanations, 73 already done
[class3\T07.02-data-representation.json] 2 need explanations, 72 already done
[class3\T07.03-data-interpretation.json] 1 need explanations, 73 already done
[class3\T08.01-number-patterns.json] 2 need explanations, 72 already done
[class3-science\T01.01-human-body-systems.json] 57 need explanations, 0 already done
    Q: Why do we need to chew our food properly?...
[class3-science\T02.01-plants.json] 57 need explanations, 0 already done
    Q: What do plants need to make food?...
    Q: Why do plants need sunlight?...
    Q: Mountain plants often have needle-like leaves to:...
    Q: Plants need _____ to make their food....
[class3-science\T03.01-animals.json] 57 need explanations, 0 already done
[class3-science\T04.01-food-and-nutrition.json] 57 need explanations, 0 already done
[class3-science\T05.01-matter-and-materials.json] 57 need explanations, 0 already done
[class3-science\T06.01-water-cycle.json] 57 need explanations, 0 already done
[class3-science\T07.01-air-and-atmosphere.json] 57 need explanations, 0 already done
    Q: Which gas do we need to breathe?...
    Q: We need oxygen to breathe....
    Q: The gas we need to breathe is _____....
[class3-science\T08.01-earth-and-universe.json] 57 need explanations, 0 already done
[class3-science\T09.01-natural-resources.json] 57 need explanations, 0 already done
    Q: We need natural resources for:...
    Q: Turning off lights when not needed helps save:...
    Q: Turning off lights when not needed saves electricity....
[class3-science\T10.01-environmental-protection.json] 57 need explanations, 0 already done
[class4\T01.01-numbers-up-to-999999.json] 1 need explanations, 79 already done
[class4\T01.02-roman-numerals.json] 3 need explanations, 77 already done
[class4\T02.01-addition.json] 8 need explanations, 72 already done
[class4\T02.02-subtraction.json] 4 need explanations, 76 already done
[class4\T02.03-multiplication.json] 1 need explanations, 79 already done
[class4\T02.04-division.json] 2 need explanations, 78 already done
[class4\T03.01-multiples-and-factors.json] 2 need explanations, 78 already done
[class4\T03.02-hcf-and-lcm.json] 3 need explanations, 77 already done
[class4\T04.01-geometrical-shapes.json] 4 need explanations, 76 already done
[class4\T04.02-perimeter-and-area.json] 2 need explanations, 75 already done
[class4\T05.01-measurement-length-mass-capacity.json] 1 need explanations, 68 already done
[class4\T05.02-time.json] 6 need explanations, 74 already done
[class4\T06.01-data-handling.json] 1 need explanations, 79 already done
[class4\T07.01-patterns.json] 2 need explanations, 78 already done
[class4-science\T04.01-food-and-digestion.json] 1 need explanations, 56 already done
[class4-science\T05.01-matter-and-materials.json] 1 need explanations, 56 already done
[class4-science\T07.01-light-and-shadow.json] 1 need explanations, 56 already done
[class4-science\T08.01-sound.json] 1 need explanations, 56 already done
[class4-science\T09.01-earth-and-solar-system.json] 2 need explanations, 55 already done
[class4-science\T10.01-natural-disasters.json] 1 need explanations, 56 already done
[class4-science\T11.01-pollution-and-conservation.json] 1 need explanations, 56 already done
[class4-science\T12.01-simple-machines.json] 2 need explanations, 55 already done
[class5\T07.06-money.json] 1 need explanations, 52 already done
[class5-science\T03.01-plants-photosynthesis-respiration.json] 1 need explanations, 56 already done
    Q: _____ energy from the sun is needed for photosynthesis....
[class5-science\T04.01-animals-adaptation-ecosystems.json] 1 need explanations, 56 already done
[class5-science\T05.01-food-and-health.json] 2 need explanations, 55 already done
    Q: Why do we need water in our diet?...
[class5-science\T06.01-matter-states-changes.json] 1 need explanations, 56 already done
[class5-science\T07.01-acids-bases-salts.json] 1 need explanations, 56 already done
[class5-science\T08.01-force-work-energy.json] 3 need explanations, 54 already done
[class5-science\T09.01-heat-and-temperature.json] 1 need explanations, 56 already done
[class5-science\T12.01-electricity-magnetism.json] 2 need explanations, 55 already done
[class5-science\T13.01-solar-system-stars.json] 1 need explanations, 56 already done
[class5-science\T14.01-environment-pollution.json] 9 need explanations, 48 already done
[class6\T01.02-natural-and-whole-numbers.json] 1 need explanations, 79 already done
[class6\T01.05-fractions.json] 5 need explanations, 75 already done
[class6\T01.06-decimal-fractions.json] 4 need explanations, 76 already done
[class6\T01.07-playing-with-numbers.json] 1 need explanations, 79 already done
[class6\T02.01-ratio-and-proportion.json] 3 need explanations, 77 already done
[class6\T02.02-unitary-method.json] 2 need explanations, 78 already done
[class6\T02.03-percentage.json] 1 need explanations, 79 already done
[class6\T02.04-speed-time-distance.json] 5 need explanations, 75 already done
[class6\T03.01-fundamental-concepts-of-algebra.json] 40 need explanations, 40 already done
[class6\T03.02-simple-equations.json] 40 need explanations, 40 already done
[class6\T04.01-fundamental-geometrical-concepts.json] 40 need explanations, 40 already done
[class6\T04.02-angles.json] 40 need explanations, 40 already done
[class6\T04.03-triangles.json] 30 need explanations, 40 already done
[class6\T04.04-quadrilaterals.json] 40 need explanations, 40 already done
[class6\T04.05-circles.json] 40 need explanations, 40 already done
[class6\T04.06-polygons.json] 40 need explanations, 40 already done
[class6\T04.07-recognition-of-3d-shapes.json] 40 need explanations, 40 already done
[class6\T04.08-linear-symmetry.json] 40 need explanations, 40 already done
[class6\T04.09-geometrical-constructions.json] 40 need explanations, 40 already done
[class6\T05.01-perimeter-and-area.json] 40 need explanations, 40 already done
[class6\T06.01-collection-and-organisation-of-data.json] 40 need explanations, 40 already done
[class6\T06.02-graphical-representation-of-data.json] 40 need explanations, 40 already done
[class6\T06.03-mean-and-median.json] 40 need explanations, 40 already done
[class6-biology\T07.01-food-and-nutrition.json] 1 need explanations, 56 already done
[class6-chemistry\T04.01-physical-and-chemical-changes.json] 3 need explanations, 54 already done
[class6-chemistry\T05.01-air-and-its-components.json] 2 need explanations, 55 already done
[class6-physics\T01.01-measurement.json] 1 need explanations, 56 already done
[class6-physics\T03.01-force.json] 1 need explanations, 56 already done
[class6-physics\T04.01-light.json] 3 need explanations, 54 already done
[class6-physics\T05.01-sound.json] 1 need explanations, 56 already done
[class6-physics\T08.01-heat.json] 2 need explanations, 55 already done
[class7\T01.01-integers.json] 11 need explanations, 47 already done
[class7\T01.02-fractions.json] 8 need explanations, 48 already done
[class7\T01.03-decimals.json] 53 need explanations, 0 already done
    Q: A student measures the length of a pencil as 14.267 cm. If the measurement needs...
[class7\T01.04-rational-numbers.json] 56 need explanations, 0 already done
[class7\T01.05-exponents.json] 12 need explanations, 47 already done
[class7\T01.06-sets.json] 16 need explanations, 46 already done
[class7\T02.01-ratio-and-proportion.json] 12 need explanations, 47 already done
[class7\T02.02-unitary-method.json] 4 need explanations, 49 already done
[class7\T02.03-percentage.json] 20 need explanations, 45 already done
[class7\T02.04-profit-and-loss.json] 12 need explanations, 47 already done
[class7\T02.05-simple-interest.json] 16 need explanations, 46 already done
[class7\T02.06-speed-distance-and-time.json] 8 need explanations, 48 already done
[class7\T03.01-algebraic-expressions.json] 12 need explanations, 47 already done
[class7\T03.02-linear-equations.json] 12 need explanations, 47 already done
[class7\T03.03-inequalities.json] 8 need explanations, 48 already done
[class7\T04.01-fundamental-geometrical-concepts.json] 12 need explanations, 47 already done
[class7\T04.02-lines-and-angles.json] 8 need explanations, 48 already done
[class7\T04.03-properties-of-triangles.json] 20 need explanations, 45 already done
[class7\T04.04-symmetry.json] 12 need explanations, 47 already done
[class7\T04.05-representing-3-d-in-2-d.json] 16 need explanations, 46 already done
[class7\T04.06-congruence.json] 12 need explanations, 47 already done
[class7\T04.07-construction.json] 16 need explanations, 46 already done
[class7\T05.01-mensuration.json] 20 need explanations, 45 already done
[class7\T06.01-data-handling.json] 16 need explanations, 46 already done
[class7\T06.02-probability.json] 12 need explanations, 47 already done
[class7-biology\T04.01-nutrition-in-plants.json] 1 need explanations, 56 already done
[class7-biology\T06.01-respiration-in-organisms.json] 1 need explanations, 56 already done
[class7-biology\T09.01-reproduction-in-plants.json] 1 need explanations, 56 already done
[class7-chemistry\T04.01-physical-and-chemical-changes.json] 1 need explanations, 56 already done
[class7-chemistry\T05.01-acids-bases-and-indicators.json] 2 need explanations, 55 already done
[class7-chemistry\T06.01-metals-and-non-metals.json] 1 need explanations, 56 already done
[class7-chemistry\T07.01-air-composition-and-pollution.json] 1 need explanations, 56 already done
[class7-chemistry\T08.01-water-properties-and-solutions.json] 1 need explanations, 56 already done
[class7-chemistry\T09.01-symbols-and-formulae.json] 3 need explanations, 54 already done
[class7-chemistry\T10.01-simple-chemical-reactions.json] 1 need explanations, 56 already done
[class7-physics\T03.01-force.json] 2 need explanations, 55 already done
[class7-physics\T05.01-energy.json] 2 need explanations, 55 already done
[class7-physics\T06.01-heat.json] 1 need explanations, 56 already done
[class7-physics\T07.01-light.json] 1 need explanations, 56 already done
[class7-physics\T08.01-sound.json] 1 need explanations, 56 already done
[class7-physics\T10.01-magnetism.json] 3 need explanations, 54 already done
[class8\T01.01-rational-numbers.json] 12 need explanations, 47 already done
[class8\T01.02-exponents.json] 59 need explanations, 0 already done
[class8\T01.03-squares-and-square-roots.json] 4 need explanations, 49 already done
[class8\T01.04-cubes-and-cube-roots.json] 8 need explanations, 48 already done
[class8\T01.05-playing-with-numbers.json] 8 need explanations, 48 already done
[class8\T02.01-operations-on-sets.json] 16 need explanations, 46 already done
[class8\T03.01-percentage-and-its-applications.json] 16 need explanations, 46 already done
[class8\T03.02-simple-and-compound-interest.json] 8 need explanations, 48 already done
[class8\T03.03-direct-and-inverse-variation.json] 8 need explanations, 48 already done
[class8\T03.04-time-and-work.json] 8 need explanations, 48 already done
[class8\T04.01-algebraic-expressions-and-identities.json] 6 need explanations, 48 already done
[class8\T04.02-factorisation.json] 12 need explanations, 47 already done
[class8\T04.03-linear-equations-and-inequations.json] 8 need explanations, 48 already done
[class8\T05.01-quadrilateral-and-its-properties.json] 12 need explanations, 47 already done
[class8\T05.02-construction-of-quadrilaterals.json] 9 need explanations, 46 already done
[class8\T05.03-circles.json] 12 need explanations, 47 already done
[class8\T05.04-symmetry-reflection-and-rotation.json] 4 need explanations, 49 already done
[class8\T06.01-visualising-solid-shapes.json] 16 need explanations, 46 already done
[class8\T06.02-co-ordinate-system-and-linear-graphs.json] 12 need explanations, 47 already done
[class8\T07.02-surface-area-and-volume.json] 12 need explanations, 47 already done
[class8\T08.01-data-handling.json] 8 need explanations, 48 already done
[class8-biology\T03.01-reproduction-in-humans.json] 13 need explanations, 44 already done
[class8-biology\T04.01-ecosystems.json] 3 need explanations, 54 already done
[class8-biology\T06.01-human-circulatory-system.json] 1 need explanations, 56 already done
[class8-biology\T07.01-human-nervous-system.json] 2 need explanations, 55 already done
[class8-biology\T08.01-health-and-hygiene.json] 2 need explanations, 55 already done
[class8-biology\T09.01-food-production.json] 3 need explanations, 54 already done
[class8-chemistry\T05.01-language-of-chemistry.json] 2 need explanations, 55 already done
[class8-chemistry\T08.01-water.json] 3 need explanations, 54 already done
[class8-chemistry\T09.01-carbon-and-its-allotropes.json] 17 need explanations, 40 already done
[class8-chemistry\T09.02-carbon-dioxide-and-carbon-monoxide.json] 3 need explanations, 54 already done
[class8-physics\T02.01-density-and-measurement.json] 1 need explanations, 57 already done
[class8-physics\T02.02-buoyancy-and-floatation.json] 2 need explanations, 56 already done
[class8-physics\T03.01-force.json] 3 need explanations, 55 already done
[class8-physics\T03.02-moment-of-force.json] 2 need explanations, 56 already done
[class8-physics\T03.03-pressure.json] 1 need explanations, 57 already done
[class8-physics\T04.01-work-and-energy.json] 1 need explanations, 57 already done
[class8-physics\T04.02-power-and-energy-sources.json] 2 need explanations, 56 already done
[class8-physics\T05.01-refraction-of-light.json] 1 need explanations, 57 already done
[class8-physics\T05.02-dispersion-and-spectrum.json] 8 need explanations, 50 already done
    Q: Which conditions are needed to see a rainbow?...
[class8-physics\T05.03-spherical-mirrors.json] 1 need explanations, 57 already done
[class8-physics\T06.01-heat-and-thermal-expansion.json] 1 need explanations, 57 already done
[class8-physics\T07.01-sound-waves.json] 1 need explanations, 57 already done
[class8-physics\T08.01-household-electricity.json] 1 need explanations, 57 already done
[class9\T01.01-rational-and-irrational-numbers.json] 16 need explanations, 46 already done
[class9\T01.02-surds.json] 59 need explanations, 0 already done
[class9\T02.01-profit-loss-and-discount.json] 16 need explanations, 46 already done
[class9\T02.02-compound-interest.json] 12 need explanations, 47 already done
[class9\T03.01-expansions-and-factorisation.json] 12 need explanations, 47 already done
[class9\T03.02-changing-the-subject-of-a-formula.json] 12 need explanations, 47 already done
[class9\T03.03-linear-equations-and-simultaneous-equations.json] 12 need explanations, 47 already done
[class9\T03.04-graphical-solution-of-simultaneous-linear-equations.json] 6 need explanations, 48 already done
[class9\T03.05-indices-exponents-and-logarithms.json] 8 need explanations, 48 already done
[class9\T04.01-triangles-congruency.json] 14 need explanations, 46 already done
[class9\T04.02-isosceles-triangles.json] 12 need explanations, 47 already done
[class9\T04.03-inequalities-in-triangles.json] 12 need explanations, 47 already done
[class9\T04.04-mid-point-theorem.json] 16 need explanations, 46 already done
[class9\T04.05-pythagoras-theorem.json] 16 need explanations, 46 already done
[class9\T04.06-similarity.json] 12 need explanations, 47 already done
[class9\T04.08-area-theorems.json] 16 need explanations, 46 already done
[class9\T04.09-circle.json] 12 need explanations, 47 already done
[class9\T05.01-construction-of-triangles-and-quadrilaterals.json] 16 need explanations, 46 already done
[class9\T06.01-data-collection-and-organisation.json] 20 need explanations, 45 already done
[class9\T06.02-graphical-representation.json] 16 need explanations, 46 already done
[class9\T06.03-measures-of-central-tendency.json] 12 need explanations, 47 already done
[class9\T07.01-area-and-perimeter-of-plane-figures.json] 24 need explanations, 44 already done
[class9\T07.02-volume-and-surface-area-of-solids.json] 24 need explanations, 44 already done
[class9\T07.03-application-problems-in-mensuration.json] 12 need explanations, 46 already done
[class9\T08.01-trigonometric-ratios.json] 18 need explanations, 44 already done
[class9\T08.03-heights-and-distances.json] 16 need explanations, 46 already done
[class9\T09.01-cartesian-plane-and-distance-formula.json] 8 need explanations, 47 already done
[class9-biology\T02.01-tissues-plant-and-animal.json] 1 need explanations, 56 already done
[class9-biology\T03.01-plant-physiology.json] 2 need explanations, 55 already done
[class9-biology\T04.01-human-body-digestive-system.json] 1 need explanations, 56 already done
[class9-biology\T06.01-human-body-circulatory-system.json] 1 need explanations, 56 already done
[class9-biology\T08.01-human-body-nervous-system.json] 2 need explanations, 55 already done
[class9-biology\T10.01-disease-and-immunity.json] 1 need explanations, 56 already done
[class9-biology\T11.01-hygiene-and-health.json] 1 need explanations, 56 already done
[class9-chemistry\T01.01-matter-and-its-composition.json] 2 need explanations, 55 already done
[class9-chemistry\T03.01-the-periodic-table.json] 1 need explanations, 56 already done
[class9-chemistry\T04.01-chemical-equations-and-balancing.json] 3 need explanations, 54 already done
[class9-chemistry\T05.01-mole-concept-and-stoichiometry.json] 6 need explanations, 51 already done
[class9-chemistry\T06.01-acids-bases-and-salts.json] 1 need explanations, 56 already done
[class9-chemistry\T07.01-study-of-hydrogen.json] 1 need explanations, 56 already done
[class9-chemistry\T08.01-study-of-water.json] 2 need explanations, 55 already done
[class9-chemistry\T10.01-practical-chemistry-and-laboratory-techniques.json] 2 need explanations, 55 already done
[class9-chemistry\T12.01-hydrochloric-acid-and-sulphuric-acid.json] 1 need explanations, 56 already done
[class9-physics\T01.01-measurements-and-experimentation.json] 1 need explanations, 56 already done
[class9-physics\T03.01-laws-of-motion.json] 3 need explanations, 54 already done
[class9-physics\T04.01-gravitation.json] 4 need explanations, 53 already done
[class9-physics\T05.01-fluids.json] 1 need explanations, 56 already done
[class9-physics\T06.01-work-energy-and-power.json] 2 need explanations, 55 already done
[class9-physics\T08.01-heat-and-calorimetry.json] 3 need explanations, 54 already done
    Q: How much steam at 100 degrees C is needed to melt 500 g of ice at 0 degrees C? (...
[class9-physics\T09.01-light.json] 1 need explanations, 56 already done
[class9-physics\T11.01-current-electricity.json] 2 need explanations, 55 already done
Questions skipped:     26977 (already had explanations)
